"County","Minimum food cost","Average food cost","1 Adult: 19-50 Years (Min)","2 Adults: 19-50 Years (Min)","1 Adult 1 Child (Min)","2 Adults 2 Children (Min)","1 Adults 65+ (Min)","2 Adults 65+ (Min)","1 Adult: 19-50 Years (Avg)","2 Adults: 19-50 Years (Avg)","1 Adult 1 Child (Avg)","2 Adults 2 Children (Avg)","1 Adults 65+ (Avg)","2 Adults 65+ (Avg)"
"Giles County, Virginia",593.95,791.45,593.95,950.32,861.2275,1247.295,504.8575,831.53,791.45,1266.32,1147.6025,1662.045,672.7325,1108.03
"Gloucester County, Virginia",630.62,840.31,630.62,1008.992,914.399,1324.302,536.027,882.868,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434
"Goochland County, Virginia",601.29,801.22,601.29,962.064,871.8705,1262.709,511.0965,841.806,801.22,1281.952,1161.769,1682.562,681.037,1121.708
"Grayson County, Virginia",564.62,752.37,564.62,903.392,818.699,1185.702,479.927,790.468,752.37,1203.792,1090.9365,1579.977,639.5145,1053.318
"Greene County, Virginia",640.39,853.33,640.39,1024.624,928.5655,1344.819,544.3315,896.546,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662
"Greensville County, Virginia",650.17,866.36,650.17,1040.272,942.7465,1365.357,552.6445,910.238,866.36,1386.176,1256.222,1819.356,736.406,1212.904
"Halifax County, Virginia",586.62,781.68,586.62,938.592,850.599,1231.902,498.627,821.268,781.68,1250.688,1133.436,1641.528,664.428,1094.352
"Hanover County, Virginia",637.95,850.08,637.95,1020.72,925.0275,1339.695,542.2575,893.13,850.08,1360.128,1232.616,1785.168,722.568,1190.112
"Henrico County, Virginia",596.4,794.71,596.4,954.24,864.78,1252.44,506.94,834.96,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594
"Henry County, Virginia",591.51,788.19,591.51,946.416,857.6895,1242.171,502.7835,828.114,788.19,1261.104,1142.8755,1655.199,669.9615,1103.466
"Highland County, Virginia",552.4,736.08,552.4,883.84,800.98,1160.04,469.54,773.36,736.08,1177.728,1067.316,1545.768,625.668,1030.512
"Isle of Wight County, Virginia",620.84,827.28,620.84,993.344,900.218,1303.764,527.714,869.176,827.28,1323.648,1199.556,1737.288,703.188,1158.192
"James City County, Virginia",613.51,817.51,613.51,981.616,889.5895,1288.371,521.4835,858.914,817.51,1308.016,1185.3895,1716.771,694.8835,1144.514
"King and Queen County, Virginia",579.29,771.91,579.29,926.864,839.9705,1216.509,492.3965,811.006,771.91,1235.056,1119.2695,1621.011,656.1235,1080.674
"King George County, Virginia",674.61,898.93,674.61,1079.376,978.1845,1416.681,573.4185,944.454,898.93,1438.288,1303.4485,1887.753,764.0905,1258.502
"King William County, Virginia",623.28,830.54,623.28,997.248,903.756,1308.888,529.788,872.592,830.54,1328.864,1204.283,1744.134,705.959,1162.756
"Lancaster County, Virginia",474.18,631.86,474.18,758.688,687.561,995.778,403.053,663.852,631.86,1010.976,916.197,1326.906,537.081,884.604
"Lee County, Virginia",593.95,791.45,593.95,950.32,861.2275,1247.295,504.8575,831.53,791.45,1266.32,1147.6025,1662.045,672.7325,1108.03
"Loudoun County, Virginia",738.16,983.61,738.16,1181.056,1070.332,1550.136,627.436,1033.424,983.61,1573.776,1426.2345,2065.581,836.0685,1377.054
"Louisa County, Virginia",625.73,833.79,625.73,1001.168,907.3085,1314.033,531.8705,876.022,833.79,1334.064,1208.9955,1750.959,708.7215,1167.306
"Lunenburg County, Virginia",579.29,771.91,579.29,926.864,839.9705,1216.509,492.3965,811.006,771.91,1235.056,1119.2695,1621.011,656.1235,1080.674
"Madison County, Virginia",618.4,824.02,618.4,989.44,896.68,1298.64,525.64,865.76,824.02,1318.432,1194.829,1730.442,700.417,1153.628
"Mathews County, Virginia",542.62,723.05,542.62,868.192,786.799,1139.502,461.227,759.668,723.05,1156.88,1048.4225,1518.405,614.5925,1012.27
"Mecklenburg County, Virginia",537.74,716.54,537.74,860.384,779.723,1129.254,457.079,752.836,716.54,1146.464,1038.983,1504.734,609.059,1003.156
"Middlesex County, Virginia",535.29,713.28,535.29,856.464,776.1705,1124.109,454.9965,749.406,713.28,1141.248,1034.256,1497.888,606.288,998.592
"Montgomery County, Virginia",589.06,784.94,589.06,942.496,854.137,1237.026,500.701,824.684,784.94,1255.904,1138.163,1648.374,667.199,1098.916
"Nelson County, Virginia",554.84,739.34,554.84,887.744,804.518,1165.164,471.614,776.776,739.34,1182.944,1072.043,1552.614,628.439,1035.076
"New Kent County, Virginia",635.5,846.82,635.5,1016.8,921.475,1334.55,540.175,889.7,846.82,1354.912,1227.889,1778.322,719.797,1185.548
"Northampton County, Virginia",542.62,723.05,542.62,868.192,786.799,1139.502,461.227,759.668,723.05,1156.88,1048.4225,1518.405,614.5925,1012.27
"Northumberland County, Virginia",542.62,723.05,542.62,868.192,786.799,1139.502,461.227,759.668,723.05,1156.88,1048.4225,1518.405,614.5925,1012.27
"Nottoway County, Virginia",581.73,775.17,581.73,930.768,843.5085,1221.633,494.4705,814.422,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238
"Orange County, Virginia",611.06,814.25,611.06,977.696,886.037,1283.226,519.401,855.484,814.25,1302.8,1180.6625,1709.925,692.1125,1139.95
"Page County, Virginia",603.73,804.48,603.73,965.968,875.4085,1267.833,513.1705,845.222,804.48,1287.168,1166.496,1689.408,683.808,1126.272
"Patrick County, Virginia",537.74,716.54,537.74,860.384,779.723,1129.254,457.079,752.836,716.54,1146.464,1038.983,1504.734,609.059,1003.156
"Pittsylvania County, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
"Powhatan County, Virginia",650.17,866.36,650.17,1040.272,942.7465,1365.357,552.6445,910.238,866.36,1386.176,1256.222,1819.356,736.406,1212.904
"Prince Edward County, Virginia",549.96,732.82,549.96,879.936,797.442,1154.916,467.466,769.944,732.82,1172.512,1062.589,1538.922,622.897,1025.948
"Prince George County, Virginia",686.83,915.22,686.83,1098.928,995.9035,1442.343,583.8055,961.562,915.22,1464.352,1327.069,1921.962,777.937,1281.308
"Prince William County, Virginia",760.16,1012.93,760.16,1216.256,1102.232,1596.336,646.136,1064.224,1012.93,1620.688,1468.7485,2127.153,860.9905,1418.102
"Pulaski County, Virginia",554.84,739.34,554.84,887.744,804.518,1165.164,471.614,776.776,739.34,1182.944,1072.043,1552.614,628.439,1035.076
"Rappahannock County, Virginia",633.06,843.56,633.06,1012.896,917.937,1329.426,538.101,886.284,843.56,1349.696,1223.162,1771.476,717.026,1180.984
"Richmond County, Virginia",618.4,824.02,618.4,989.44,896.68,1298.64,525.64,865.76,824.02,1318.432,1194.829,1730.442,700.417,1153.628
"Roanoke County, Virginia",589.06,784.94,589.06,942.496,854.137,1237.026,500.701,824.684,784.94,1255.904,1138.163,1648.374,667.199,1098.916
"Rockbridge County, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Rockingham County, Virginia",630.62,840.31,630.62,1008.992,914.399,1324.302,536.027,882.868,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434
"Russell County, Virginia",589.06,784.94,589.06,942.496,854.137,1237.026,500.701,824.684,784.94,1255.904,1138.163,1648.374,667.199,1098.916
"Scott County, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Shenandoah County, Virginia",608.62,810.99,608.62,973.792,882.499,1278.102,517.327,852.068,810.99,1297.584,1175.9355,1703.079,689.3415,1135.386
"Smyth County, Virginia",562.18,749.11,562.18,899.488,815.161,1180.578,477.853,787.052,749.11,1198.576,1086.2095,1573.131,636.7435,1048.754
"Southampton County, Virginia",589.06,784.94,589.06,942.496,854.137,1237.026,500.701,824.684,784.94,1255.904,1138.163,1648.374,667.199,1098.916
"Spotsylvania County, Virginia",684.39,911.96,684.39,1095.024,992.3655,1437.219,581.7315,958.146,911.96,1459.136,1322.342,1915.116,775.166,1276.744
"Stafford County, Virginia",747.94,996.64,747.94,1196.704,1084.513,1570.674,635.749,1047.116,996.64,1594.624,1445.128,2092.944,847.144,1395.296
"Surry County, Virginia",581.73,775.17,581.73,930.768,843.5085,1221.633,494.4705,814.422,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238
"Sussex County, Virginia",601.29,801.22,601.29,962.064,871.8705,1262.709,511.0965,841.806,801.22,1281.952,1161.769,1682.562,681.037,1121.708
"Tazewell County, Virginia",586.62,781.68,586.62,938.592,850.599,1231.902,498.627,821.268,781.68,1250.688,1133.436,1641.528,664.428,1094.352
"Warren County, Virginia",640.39,853.33,640.39,1024.624,928.5655,1344.819,544.3315,896.546,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662
"Washington County, Virginia",579.29,771.91,579.29,926.864,839.9705,1216.509,492.3965,811.006,771.91,1235.056,1119.2695,1621.011,656.1235,1080.674
"Westmoreland County, Virginia",564.62,752.37,564.62,903.392,818.699,1185.702,479.927,790.468,752.37,1203.792,1090.9365,1579.977,639.5145,1053.318
"Wise County, Virginia",569.51,758.88,569.51,911.216,825.7895,1195.971,484.0835,797.314,758.88,1214.208,1100.376,1593.648,645.048,1062.432
"Wythe County, Virginia",552.4,736.08,552.4,883.84,800.98,1160.04,469.54,773.36,736.08,1177.728,1067.316,1545.768,625.668,1030.512
"York County, Virginia",640.39,853.33,640.39,1024.624,928.5655,1344.819,544.3315,896.546,853.33,1365.328,1237.3285,1791.993,725.3305,1194.662
"Alexandria city, Virginia",503.52,670.94,503.52,805.632,730.104,1057.392,427.992,704.928,670.94,1073.504,972.863,1408.974,570.299,939.316
"Bristol city, Virginia",557.29,742.6,557.29,891.664,808.0705,1170.309,473.6965,780.206,742.6,1188.16,1076.77,1559.46,631.21,1039.64
"Buena Vista city, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Charlottesville city, Virginia",530.4,706.77,530.4,848.64,769.08,1113.84,450.84,742.56,706.77,1130.832,1024.8165,1484.217,600.7545,989.478
"Chesapeake city, Virginia",652.61,869.62,652.61,1044.176,946.2845,1370.481,554.7185,913.654,869.62,1391.392,1260.949,1826.202,739.177,1217.468
"Colonial Heights city, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
"Covington city, Virginia",547.51,729.57,547.51,876.016,793.8895,1149.771,465.3835,766.514,729.57,1167.312,1057.8765,1532.097,620.1345,1021.398
"Danville city, Virginia",532.85,710.03,532.85,852.56,772.6325,1118.985,452.9225,745.99,710.03,1136.048,1029.5435,1491.063,603.5255,994.042
"Emporia city, Virginia",596.4,794.71,596.4,954.24,864.78,1252.44,506.94,834.96,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594
"Fairfax city, Virginia",637.95,850.08,637.95,1020.72,925.0275,1339.695,542.2575,893.13,850.08,1360.128,1232.616,1785.168,722.568,1190.112
"Falls Church city, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
"Franklin city, Virginia",581.73,775.17,581.73,930.768,843.5085,1221.633,494.4705,814.422,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238
"Fredericksburg city, Virginia",557.29,742.6,557.29,891.664,808.0705,1170.309,473.6965,780.206,742.6,1188.16,1076.77,1559.46,631.21,1039.64
"Galax city, Virginia",571.95,762.14,571.95,915.12,829.3275,1201.095,486.1575,800.73,762.14,1219.424,1105.103,1600.494,647.819,1066.996
"Hampton city, Virginia",564.62,752.37,564.62,903.392,818.699,1185.702,479.927,790.468,752.37,1203.792,1090.9365,1579.977,639.5145,1053.318
"Harrisonburg city, Virginia",623.28,830.54,623.28,997.248,903.756,1308.888,529.788,872.592,830.54,1328.864,1204.283,1744.134,705.959,1162.756
"Hopewell city, Virginia",589.06,784.94,589.06,942.496,854.137,1237.026,500.701,824.684,784.94,1255.904,1138.163,1648.374,667.199,1098.916
"Lexington city, Virginia",496.18,661.17,496.18,793.888,719.461,1041.978,421.753,694.652,661.17,1057.872,958.6965,1388.457,561.9945,925.638
"Lynchburg city, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
"Manassas city, Virginia",740.61,986.87,740.61,1184.976,1073.8845,1555.281,629.5185,1036.854,986.87,1578.992,1430.9615,2072.427,838.8395,1381.618
"Manassas Park city, Virginia",801.71,1068.3,801.71,1282.736,1162.4795,1683.591,681.4535,1122.394,1068.3,1709.28,1549.035,2243.43,908.055,1495.62
"Martinsville city, Virginia",571.95,762.14,571.95,915.12,829.3275,1201.095,486.1575,800.73,762.14,1219.424,1105.103,1600.494,647.819,1066.996
"Newport News city, Virginia",574.4,765.4,574.4,919.04,832.88,1206.24,488.24,804.16,765.4,1224.64,1109.83,1607.34,650.59,1071.56
"Norfolk city, Virginia",554.84,739.34,554.84,887.744,804.518,1165.164,471.614,776.776,739.34,1182.944,1072.043,1552.614,628.439,1035.076
"Norton city, Virginia",559.73,745.85,559.73,895.568,811.6085,1175.433,475.7705,783.622,745.85,1193.36,1081.4825,1566.285,633.9725,1044.19
"Petersburg city, Virginia",540.18,719.8,540.18,864.288,783.261,1134.378,459.153,756.252,719.8,1151.68,1043.71,1511.58,611.83,1007.72
"Poquoson city, Virginia",655.06,872.88,655.06,1048.096,949.837,1375.626,556.801,917.084,872.88,1396.608,1265.676,1833.048,741.948,1222.032
"Portsmouth city, Virginia",581.73,775.17,581.73,930.768,843.5085,1221.633,494.4705,814.422,775.17,1240.272,1123.9965,1627.857,658.8945,1085.238
"Radford city, Virginia",596.4,794.71,596.4,954.24,864.78,1252.44,506.94,834.96,794.71,1271.536,1152.3295,1668.891,675.5035,1112.594
"Richmond city, Virginia",520.63,693.74,520.63,833.008,754.9135,1093.323,442.5355,728.882,693.74,1109.984,1005.923,1456.854,589.679,971.236
"Roanoke city, Virginia",545.07,726.31,545.07,872.112,790.3515,1144.647,463.3095,763.098,726.31,1162.096,1053.1495,1525.251,617.3635,1016.834
"Salem city, Virginia",554.84,739.34,554.84,887.744,804.518,1165.164,471.614,776.776,739.34,1182.944,1072.043,1552.614,628.439,1035.076
"Staunton city, Virginia",520.63,693.74,520.63,833.008,754.9135,1093.323,442.5355,728.882,693.74,1109.984,1005.923,1456.854,589.679,971.236
"Suffolk city, Virginia",630.62,840.31,630.62,1008.992,914.399,1324.302,536.027,882.868,840.31,1344.496,1218.4495,1764.651,714.2635,1176.434
"Virginia Beach city, Virginia",611.06,814.25,611.06,977.696,886.037,1283.226,519.401,855.484,814.25,1302.8,1180.6625,1709.925,692.1125,1139.95
"Waynesboro city, Virginia",567.07,755.62,567.07,907.312,822.2515,1190.847,482.0095,793.898,755.62,1208.992,1095.649,1586.802,642.277,1057.868
"Williamsburg city, Virginia",527.96,703.51,527.96,844.736,765.542,1108.716,448.766,739.144,703.51,1125.616,1020.0895,1477.371,597.9835,984.914
"Winchester city, Virginia",584.18,778.42,584.18,934.688,847.061,1226.778,496.553,817.852,778.42,1245.472,1128.709,1634.682,661.657,1089.788
